practice_code,list_size,pct_65plus,patients_per_gp,imd_score,region,rural,pct_same_day,pct_wait_15plus
P80074,2158,23.0,2199,4.6,London,0,31.7,22.7
P80075,12066,5.0,1602,5.9,Yorkshire,0,34.4,19.1
P80076,8355,19.4,1177,45.6,East,0,40.3,17.1
P80077,6889,22.6,1629,9.5,East,0,45.3,17.5
P80078,8375,9.1,2400,28.0,Midlands,0,37.4,31.0
P80079,2961,24.9,2140,22.3,Yorkshire,0,35.6,12.0
P80080,7167,20.0,1661,19.3,London,0,35.9,28.0
P80081,9563,15.5,1660,45.3,East,0,33.0,23.7
P80082,16749,21.8,1671,4.0,North West,0,44.2,13.7
P80083,6173,31.6,2631,34.2,North West,1,32.5,18.4
P80084,5339,19.1,1953,48.3,North West,0,39.9,30.4
P80085,6224,19.5,1972,29.3,London,0,23.9,21.5
P80086,12643,15.2,2212,47.0,South East,0,31.8,20.7
P80087,9429,12.9,1896,5.5,South West,0,42.9,25.2
P80088,6138,23.0,1696,22.7,North East,0,43.3,21.4
P80089,10340,12.9,1721,15.2,South East,0,57.5,16.8
P80090,8397,18.4,1771,37.3,South East,1,44.2,20.9
P80091,12984,15.1,1785,49.1,Yorkshire,0,31.1,19.2
P80092,5631,20.9,2091,15.1,London,0,35.0,29.0
P80093,6791,20.0,1821,33.7,Yorkshire,0,28.7,26.0
P80094,6575,24.2,2093,12.3,North West,0,39.9,23.2
P80095,3848,14.9,1768,29.6,North East,0,34.6,23.2
P80096,9276,16.4,1831,24.8,South East,1,48.3,26.5
P80097,9115,12.1,1001,48.7,London,0,35.7,22.7
P80098,8020,15.3,2167,31.6,North West,0,35.5,19.1
P80099,7114,20.3,1939,19.4,North East,0,36.4,23.0
P80100,3942,22.5,2199,8.4,North West,0,50.2,29.8
P80101,6482,12.5,800,10.1,London,1,46.3,12.5
P80102,6740,23.2,2635,13.6,North West,0,46.8,22.5
P80103,5356,26.1,1744,14.8,North West,0,48.1,21.0
P80104,7380,20.5,2243,43.0,Midlands,0,37.9,24.4
P80105,9791,29.3,1384,29.4,North West,1,50.0,12.4
P80106,20543,13.4,2045,27.6,North East,0,39.7,27.6
P80107,8729,10.5,1379,8.4,Midlands,0,33.0,27.8
P80108,9099,7.3,1550,43.4,London,0,32.8,26.3
P80109,7707,27.0,2566,37.0,East,0,39.2,21.5
P80110,3065,21.9,1724,6.2,London,0,39.5,15.7
P80111,7894,17.7,1887,36.3,South West,0,29.8,23.6
P80112,8244,19.7,2148,28.5,South West,0,37.0,27.5
P80113,27414,11.2,1998,6.8,London,0,46.1,26.3
P80114,7266,32.7,1860,24.5,South West,0,49.6,20.0
P80115,9301,18.8,1946,25.8,London,0,34.8,22.6
P80116,7862,18.7,2761,10.8,North East,0,40.1,20.4
P80117,4459,22.4,1777,47.4,Yorkshire,0,36.2,25.8
P80118,14166,20.9,1880,42.9,London,0,23.7,29.4
P80119,11651,19.3,2220,34.4,Yorkshire,1,33.5,15.7
P80120,11881,13.3,2242,24.7,Midlands,0,45.5,30.2
P80121,5077,20.8,2275,22.4,South East,0,35.6,25.4
P80122,16132,29.3,2055,33.6,London,0,33.5,30.6
P80123,3969,26.1,1343,28.6,East,1,45.9,11.0
P80124,10728,27.6,2453,5.9,North East,0,50.2,16.5
P80125,23918,14.9,1341,27.1,North West,0,53.0,18.8
P80126,4875,12.1,1921,40.9,London,0,45.8,28.7
P80127,6027,17.2,1498,24.6,London,0,37.7,29.9
P80128,8408,18.3,1774,5.4,South West,0,44.7,22.3
P80129,6219,24.6,1932,40.0,South East,0,29.3,21.4
P80130,3684,7.8,1929,12.5,South East,0,48.1,17.7
P80131,8279,27.2,1969,15.2,South East,1,37.5,23.3
P80132,4703,17.1,2445,10.7,North East,0,38.0,19.5
P80133,10137,15.4,1981,18.5,Yorkshire,0,32.7,28.4
P80134,5051,11.9,1702,38.6,South West,0,35.0,21.3
P80135,17364,8.1,2186,27.4,Yorkshire,0,30.4,30.7
P80136,5407,22.9,2276,12.6,South West,0,35.1,24.8
P80137,6810,18.4,1309,44.3,East,0,38.7,19.7
P80138,12015,10.3,2039,44.3,South East,0,31.6,22.6
P80139,4323,10.2,2080,43.9,Midlands,1,42.6,21.5
P80140,8963,16.0,1681,14.2,Yorkshire,1,38.6,19.7
P80141,15379,28.0,2350,24.2,Midlands,0,38.8,23.2
P80142,3581,16.4,1740,49.3,South West,0,44.9,20.6
P80143,8773,9.0,1850,39.3,Midlands,1,36.8,20.8
P80144,9110,16.5,1731,4.3,London,0,34.8,22.7
P80145,11826,16.4,1806,6.1,Yorkshire,1,43.9,9.4
P80146,4310,5.0,1361,24.8,East,0,49.0,22.1
P80147,4133,17.7,1224,45.7,East,0,43.5,16.1
P80148,10385,16.6,2438,28.3,Midlands,0,31.4,20.2
P80149,9280,22.2,1461,26.4,Midlands,0,46.4,12.5
P80150,9067,29.1,1403,8.0,London,0,36.6,12.6
P80151,9513,24.8,939,33.9,North West,0,51.2,11.5
P80152,5694,16.4,1544,41.6,South East,0,42.6,18.6
P80153,8985,11.4,1271,20.9,North West,0,42.2,26.7
P80154,9262,33.4,2457,39.5,North East,0,30.6,22.0
P80155,5597,18.4,2204,48.3,North East,1,32.0,23.8
P80156,20334,18.1,1525,12.6,Midlands,0,47.2,20.4
P80157,10138,17.9,2701,27.6,Midlands,1,43.1,24.5
P80158,4409,19.2,2193,16.5,London,0,30.5,25.1
P80159,11108,17.1,1670,40.3,North West,0,42.1,17.1
P80160,4914,14.6,800,30.1,South East,1,37.6,20.8
P80161,11857,14.7,2716,32.8,East,0,28.0,34.0
P80162,14278,17.8,1244,40.5,South East,0,42.7,13.0
P80163,5307,14.7,1142,21.6,London,0,36.0,16.9
P80164,12950,13.7,2209,46.0,Midlands,0,28.2,24.2
P80165,9833,18.6,2776,28.1,London,0,24.2,25.4
P80166,12066,16.5,2354,10.4,North West,1,42.1,23.0
P80167,20652,27.0,2026,35.7,South East,0,37.4,19.4
P80168,7076,5.0,2038,40.3,London,0,17.2,36.6
P80169,5488,24.5,2141,17.9,East,0,26.7,26.4
P80170,5127,25.5,2104,43.3,London,0,29.2,27.3
P80171,5320,5.6,1912,45.6,South East,0,37.8,28.8
P80172,7697,15.9,1842,16.0,North West,0,24.3,25.3
P80173,9487,15.8,1775,49.2,London,0,30.3,24.0
P80174,9186,9.6,1498,9.6,North East,0,40.1,16.0
P80175,12097,13.3,1688,12.5,London,0,46.3,23.4
P80176,8052,11.3,1123,11.7,South East,0,44.0,20.9
P80177,16547,28.5,1761,45.0,North West,0,42.1,22.1
P80178,7008,23.6,1405,33.8,South East,0,44.1,13.1
P80179,31172,25.6,1359,10.1,London,1,33.0,14.8
P80180,10938,22.3,1872,23.7,South West,0,45.1,20.7
P80181,5211,11.2,2357,31.9,South East,0,35.3,24.9
P80182,4683,14.9,2167,6.9,North East,0,42.1,29.8
P80183,10182,20.9,1172,44.5,South East,0,67.0,13.8
P80184,7154,10.7,1404,40.8,North East,0,28.0,23.2
P80185,11432,22.3,2176,26.7,Yorkshire,0,48.1,28.7
P80186,10135,16.6,1407,48.5,East,0,38.7,30.3
P80187,7713,15.8,1710,22.6,Yorkshire,0,42.7,19.2
P80188,5238,22.3,2020,49.3,South West,0,36.0,25.8
P80189,3750,20.7,1413,34.4,Yorkshire,0,40.1,22.0
P80190,6399,15.8,1842,32.8,London,0,31.3,26.0
P80191,12275,25.0,1266,10.8,North West,0,49.3,16.3
P80192,8903,11.5,1559,44.5,East,1,32.8,21.9
P80193,4291,21.7,1928,23.1,South West,1,47.6,9.2
P80194,8723,21.6,1163,10.6,Midlands,1,48.2,17.2
P80195,9699,16.1,1976,3.6,North West,1,37.4,19.1
P80196,5142,20.0,1792,29.3,London,1,36.4,21.4
P80197,8639,10.5,2021,27.8,London,0,40.6,34.5
P80198,8236,23.5,1890,36.8,North West,0,35.8,19.3
P80199,4517,16.9,2346,44.8,North West,0,35.5,24.0
P80200,9567,14.9,1850,6.7,Yorkshire,0,37.2,28.3
P80201,10589,24.3,1628,37.4,North West,0,45.7,17.4
P80202,13749,13.8,1849,11.8,Yorkshire,0,45.0,18.6
P80203,13549,9.5,2017,43.3,North West,0,46.2,24.0
P80204,4017,8.7,1820,41.5,South East,0,35.7,26.9
P80205,5005,21.6,1816,28.4,London,1,43.3,23.0
P80206,10349,10.3,1519,36.4,North East,0,40.6,16.3
P80207,10343,28.5,1535,17.8,Midlands,0,52.6,16.1
P80208,10349,5.5,1239,25.1,London,0,34.6,20.2
P80209,40000,28.2,2500,41.6,South West,0,38.7,24.7
P80210,10642,19.3,1302,24.6,Yorkshire,1,46.4,18.3
P80211,14114,17.4,1523,19.8,East,0,42.7,21.1
P80212,12889,14.7,1513,26.2,East,1,45.5,11.1
P80213,11079,20.4,2158,41.9,East,0,37.3,28.4
P80214,6833,17.8,1682,18.8,South East,0,41.3,21.1
P80215,11692,24.6,2299,11.2,South West,0,40.2,27.5
P80216,5435,18.7,1531,36.5,South West,0,50.7,22.5
P80217,7106,18.9,1912,41.8,London,0,39.4,30.4
P80218,6276,15.8,1466,7.7,North West,0,49.9,20.2
P80219,8334,17.7,2658,14.3,South West,0,31.9,30.1
P80220,25451,19.8,1325,9.7,North East,1,43.9,17.5
P80221,3144,7.7,1924,19.4,North East,0,44.2,22.0
P80222,11274,9.9,2054,24.2,South East,1,45.4,30.3
P80223,3571,22.5,1966,38.2,Midlands,0,46.9,26.2
P80224,6318,19.0,1726,33.6,East,0,36.4,23.7
P80225,13789,16.9,1748,32.2,Yorkshire,0,38.3,16.5
P80226,8261,18.1,1818,19.6,South East,0,31.0,15.7
P80227,4667,20.1,1741,42.5,North West,0,36.6,23.3
P80228,5594,14.8,2186,25.2,Midlands,0,42.7,24.0
P80229,11237,13.3,2684,49.0,South East,0,26.8,25.6
P80230,5552,19.2,1577,32.8,London,1,44.2,22.2
P80231,8914,12.1,1252,8.9,Midlands,0,44.6,24.1
P80232,8184,20.4,1765,34.8,North West,1,44.7,22.3
P80233,5775,7.8,2832,18.3,South East,0,24.4,22.3
P80234,23369,24.2,1479,35.3,Midlands,0,43.1,19.3
P80235,10983,20.8,2456,6.3,South West,0,19.8,19.5
P80236,2906,19.5,2471,11.2,North West,0,35.7,21.7
P80237,8781,23.9,1579,43.2,South East,0,31.0,19.3
P80238,5746,28.0,2028,13.7,Yorkshire,0,48.6,18.5
P80239,12251,24.1,2451,42.3,South East,0,38.6,20.2
P80240,5382,7.0,1648,16.1,South West,0,43.7,20.3
P80241,7553,10.3,1719,33.2,London,1,46.9,21.0
P80242,10297,14.3,1567,35.6,London,1,33.6,10.5
P80243,12333,18.2,1394,27.1,East,0,53.8,27.5
P80244,4389,21.1,1540,17.3,South East,0,49.4,23.3
P80245,6767,13.6,1310,13.0,North East,0,43.6,16.7
P80246,6308,19.1,1814,4.6,London,0,45.6,22.6
P80247,5770,13.5,1492,17.3,South West,0,36.4,14.8
P80248,19339,14.3,1894,33.7,South West,0,33.0,29.5
P80249,9795,9.6,1178,47.1,London,0,33.7,31.3
P80250,4258,12.5,1932,43.9,London,0,29.0,27.6
P80251,12659,9.9,2133,39.0,South West,0,28.4,28.9
P80252,23115,12.1,1003,40.1,East,1,54.3,17.7
P80253,13405,24.3,1950,34.3,South West,1,40.4,14.7
P80254,3742,12.3,2291,15.2,Midlands,0,38.8,21.8
P80255,6279,33.8,1316,45.6,Midlands,1,43.6,17.4
P80256,15072,21.0,2469,34.5,London,1,22.3,24.2
P80257,5615,19.1,1968,29.3,East,0,40.2,21.4
P80258,9987,12.8,1518,8.2,Yorkshire,0,32.3,18.6
P80259,11784,22.2,1778,24.0,East,0,40.8,20.3
P80260,5032,14.5,2023,24.6,North West,1,32.8,20.8
P80261,7765,18.7,1830,43.6,South East,1,52.9,16.5
P80262,2000,33.4,2016,28.7,North West,0,45.9,18.2
P80263,4793,17.4,1432,20.9,North West,0,44.3,13.9
P80264,7050,24.9,1868,48.9,Midlands,0,45.5,26.7
P80265,4286,13.8,1235,8.2,Yorkshire,0,41.1,9.0
P80266,18095,17.8,1756,22.9,London,0,40.1,28.4
P80267,3913,28.6,1438,5.0,London,1,47.4,23.3
P80268,6420,14.2,1506,37.8,North West,0,42.1,19.9
P80269,8540,28.9,2294,46.1,North East,1,46.1,11.9
P80270,16445,22.2,2237,16.2,London,1,41.9,21.8
P80271,3902,14.6,2044,43.3,South East,0,37.4,24.0
P80272,14310,21.8,1363,16.7,London,0,31.4,16.9
P80273,8041,23.8,1673,45.8,South East,0,33.9,19.6
P80274,4897,21.7,2285,38.4,North West,0,34.6,30.4
P80275,10079,8.6,1857,40.8,East,0,37.1,26.4
P80276,8837,13.6,2728,3.8,South West,0,28.0,20.9
P80277,5925,16.5,1957,48.3,South West,0,50.5,17.6
P80278,8284,17.6,1877,37.2,London,0,43.3,24.3
P80279,6598,21.7,1676,17.3,South East,0,46.4,18.7
P80280,8467,19.1,1853,42.0,Midlands,0,38.4,24.7
P80281,11139,10.0,1739,16.2,Yorkshire,0,39.4,18.9
P80282,17680,20.3,2083,44.0,North East,0,30.4,26.0
P80283,4308,21.7,2183,8.3,London,0,36.3,32.2
P80284,23241,21.4,1486,36.1,Yorkshire,0,43.5,23.4
P80285,3014,24.5,1268,28.4,North East,0,37.7,18.0
P80286,7415,23.0,1066,7.5,North East,0,51.0,14.9
P80287,10735,20.8,2003,14.4,East,0,39.4,19.7
P80288,9206,17.6,1359,3.6,South West,0,34.9,22.0
P80289,5859,8.0,939,25.0,South East,1,43.5,13.4
P80290,7209,20.6,1955,17.2,London,0,33.9,24.3
P80291,6252,19.2,2797,31.1,South East,0,43.1,26.8
P80292,5958,19.6,1798,17.0,South East,0,44.9,18.4
P80293,12234,10.3,2135,17.1,East,0,29.4,17.5
P80294,9563,11.5,1833,37.9,North West,0,40.4,24.3
P80295,5657,24.3,1760,5.3,East,0,34.6,18.5
P80296,12543,17.8,2168,45.4,London,0,37.4,29.7
P80297,9328,22.1,1684,43.1,Yorkshire,0,36.8,19.5
P80298,12011,18.2,1907,34.4,Yorkshire,0,37.8,27.4
P80299,10960,18.2,1929,30.9,North East,0,46.5,18.8
P80300,5285,23.6,1533,44.9,Yorkshire,0,33.2,27.7
P80301,6045,14.9,2197,11.7,Midlands,1,32.9,13.4
P80302,11624,18.6,1730,6.7,Yorkshire,0,39.6,21.1
P80303,10855,15.2,1498,14.3,London,0,45.8,24.0
P80304,7916,15.4,2015,40.3,South West,0,27.2,20.6
P80305,8483,16.1,1441,4.6,South East,0,28.3,19.7
P80306,15154,19.3,1811,30.4,South East,0,37.1,26.7
P80307,5951,15.1,1796,49.8,London,0,36.2,17.6
P80308,10516,25.5,2234,43.2,Midlands,0,43.0,26.1
P80309,7230,12.6,1990,27.5,North East,0,34.9,12.9
P80310,7174,16.9,1790,6.0,Midlands,0,40.0,15.9
P80311,13857,15.4,2127,42.1,London,0,38.2,34.0
P80312,12087,26.7,2356,31.2,North East,1,28.2,19.3
P80313,12015,19.2,2023,8.4,Midlands,0,38.4,16.2
P80314,15366,24.2,1804,7.4,South West,0,44.4,18.4
P80315,8084,9.1,1275,45.8,North West,0,43.4,29.4
P80316,11250,19.6,1374,34.5,South East,0,39.8,12.3
P80317,6850,23.3,1678,42.0,South West,0,40.2,17.2
P80318,9407,18.5,1556,44.3,Yorkshire,0,25.1,27.5
P80319,7496,24.4,1725,29.9,South East,0,37.3,28.0
P80320,8397,14.9,1823,27.3,East,0,42.1,21.4
P80321,10772,26.5,2012,23.2,Yorkshire,0,34.2,16.3
P80322,5313,31.8,1772,17.9,North West,0,43.8,27.5
P80323,22774,15.8,1995,23.4,London,1,40.3,29.6
P80324,4837,15.3,1826,39.4,London,0,31.9,28.5
P80325,4359,26.7,1010,31.3,London,0,44.2,16.6
P80326,14274,27.5,1424,44.9,Midlands,0,36.6,19.8
P80327,11884,14.9,1742,23.8,East,0,39.2,20.5
P80328,10929,15.5,1316,31.5,London,1,45.7,21.9
P80329,10953,16.3,2040,32.7,Yorkshire,0,38.1,29.0
P80330,7951,9.9,2412,30.8,Midlands,0,30.0,29.1
P80331,5108,12.5,2288,36.0,South East,0,35.6,20.8
P80332,8309,12.0,1715,14.2,East,0,45.7,26.0
P80333,5702,13.4,2396,27.1,North West,0,22.3,26.1
P80334,13026,17.8,1859,7.9,London,0,44.8,25.9
P80335,7432,19.4,1665,21.1,South East,0,40.0,25.9
P80336,5294,27.3,1555,25.9,North East,0,46.1,14.7
P80337,6812,12.0,1679,33.7,East,0,46.5,21.7
P80338,9834,23.9,1645,47.7,Midlands,1,34.5,17.5
P80339,6035,16.7,1868,31.2,East,1,37.6,13.9
P80340,5303,17.7,1864,37.9,London,1,35.5,25.0
P80341,9036,22.0,1801,26.8,London,0,32.0,34.0
P80342,9042,11.3,1975,32.8,East,0,47.4,16.0
P80343,6208,20.3,2276,6.3,South East,1,36.9,19.7
P80344,6321,19.0,2180,15.0,London,0,31.3,27.8
P80345,8984,21.0,1206,20.0,North East,0,47.3,18.0
P80346,3878,19.7,800,25.2,Yorkshire,1,44.3,13.6
P80347,3957,32.7,2174,5.1,North East,1,42.5,12.8
P80348,5585,14.2,1253,9.6,North East,0,47.9,18.5
P80349,7190,14.8,1710,16.0,South East,0,39.6,17.3
P80350,9345,14.3,1332,48.7,Yorkshire,0,40.1,12.4
P80351,16728,14.7,1079,18.6,South East,1,46.2,20.2
P80352,12283,14.2,2017,25.7,Yorkshire,1,31.8,24.6
P80353,7385,25.1,2104,12.2,Yorkshire,0,42.4,21.2
P80354,7924,26.5,1569,31.7,North West,0,53.1,20.6
P80355,4846,14.6,800,16.2,Yorkshire,1,52.0,18.1
P80356,7926,13.0,1582,12.7,Midlands,0,44.1,20.5
P80357,6924,20.8,1957,27.3,South East,0,43.4,25.5
P80358,9400,14.7,1208,3.3,East,1,42.5,13.6
P80359,5290,21.8,1873,3.4,Midlands,0,53.1,24.7
P80360,10372,19.2,1794,13.3,London,0,39.2,24.4
P80361,17215,8.9,2032,4.7,Midlands,0,49.3,22.4
P80362,7576,27.3,1848,8.1,Yorkshire,0,38.9,14.1
P80363,9779,28.8,1411,18.9,South East,1,59.7,16.8
P80364,11296,14.3,2279,40.7,North East,0,38.7,21.9
P80365,6545,15.7,1737,29.9,Yorkshire,1,46.2,17.0
P80366,8948,19.7,1789,27.1,Yorkshire,0,41.8,17.9
P80367,8050,20.0,1427,16.8,Yorkshire,0,43.1,14.2
P80368,8400,22.0,1623,46.8,Midlands,0,46.9,30.2
P80369,5435,30.1,1446,21.7,Yorkshire,0,46.2,23.3
P80370,8098,16.9,1731,7.1,North West,0,31.0,27.2
P80371,10261,13.2,2485,32.0,London,0,22.6,23.8
P80372,16527,9.7,1251,8.4,East,0,44.3,18.2
P80373,12923,13.6,1155,19.2,North West,0,47.4,12.8
P80374,23477,17.8,2388,26.8,South East,0,35.0,21.5
P80375,5450,28.8,1716,44.1,Midlands,0,47.6,17.6
P80376,12374,14.9,1532,26.2,North West,0,30.1,25.2
P80377,8768,19.3,2216,36.0,London,0,32.7,25.4
P80378,23911,17.9,1558,49.7,Midlands,0,28.4,26.2
P80379,5340,25.1,2530,9.2,North West,0,42.0,25.3
P80380,5257,33.2,2071,15.9,East,0,40.9,29.5
P80381,5928,14.8,1605,21.5,London,0,40.3,17.3
P80382,2766,15.1,2663,22.8,London,1,27.0,31.7
P80383,6150,24.3,1558,22.3,South West,1,54.2,21.7
P80384,5473,22.1,2097,45.7,Yorkshire,0,42.3,20.0
P80385,8624,29.1,1920,36.6,South East,0,43.1,25.6
P80386,9490,21.5,2321,31.6,Midlands,1,38.1,23.3
P80387,20440,15.8,2425,17.5,South East,0,39.4,23.0
P80388,12866,21.5,1813,41.7,South West,1,37.5,17.0
P80389,5995,24.7,1499,47.9,North East,1,49.1,16.0
P80390,5105,22.9,1984,41.6,North West,1,50.5,29.2
P80391,10230,21.0,1529,3.1,London,0,48.0,20.8
P80392,4134,24.4,2605,32.9,East,0,29.5,28.3
P80393,19988,25.0,1855,5.4,London,0,41.4,19.0
P80394,14427,26.3,1654,15.1,East,0,36.1,15.7
P80395,6327,21.9,1874,5.8,North West,0,46.0,24.0
P80396,3396,17.0,1261,31.4,London,0,42.4,16.7
P80397,15742,18.9,1411,35.3,South East,0,31.1,18.3
P80398,7554,25.2,2280,8.4,South West,1,35.6,19.7
P80399,14855,13.1,1537,21.0,Yorkshire,0,40.4,20.5
P80400,3604,20.2,1381,24.4,Yorkshire,1,45.2,16.1
P80401,5928,15.6,2015,20.3,London,1,30.5,24.7
P80402,8021,18.2,2274,8.7,North West,0,40.8,25.0
P80403,8190,25.7,2088,22.7,South West,0,40.9,24.6
P80404,6387,19.1,2198,38.3,South West,1,37.5,18.2
P80405,10922,18.3,1497,6.3,North West,0,40.5,17.0
P80406,4690,9.8,1231,6.8,Yorkshire,0,52.1,22.5
P80407,7450,22.5,2401,19.7,Yorkshire,0,46.7,26.9
P80408,8495,21.9,1671,47.3,Midlands,0,36.3,16.5
P80409,10346,31.0,1700,34.4,South West,0,38.2,21.6
P80410,11418,16.2,2331,34.9,North East,0,37.5,16.9
P80411,4559,19.3,2022,20.0,South East,0,37.2,22.0
P80412,3715,19.5,1982,30.9,Midlands,0,37.5,30.0
P80413,15154,27.5,2666,3.5,South West,0,41.8,19.1
P80414,9446,17.4,1543,32.9,Midlands,0,29.9,17.3
P80415,5502,19.7,2171,45.9,South East,0,43.0,27.6
P80416,17374,21.6,1823,31.8,South East,1,43.3,13.3
P80417,8476,19.1,1907,44.1,Yorkshire,0,34.9,20.6
P80418,14426,15.3,2411,37.0,London,0,29.0,30.9
P80419,8274,19.2,2003,8.7,East,0,40.6,18.3
P80420,22416,24.4,2015,45.4,South East,0,26.7,22.3
P80421,19242,11.8,2229,6.1,London,0,43.2,28.4
P80422,7063,18.8,1654,28.1,London,1,40.5,23.3
P80423,13003,13.8,1464,9.7,London,0,42.9,22.8
P80424,11046,25.2,1382,3.6,Yorkshire,1,56.0,13.3
P80425,15859,8.9,1013,22.8,South East,0,39.4,19.5
P80426,4938,14.6,2622,16.9,Yorkshire,0,37.0,24.5
P80427,11273,20.3,1359,25.8,Midlands,0,42.5,20.7
P80428,13580,27.4,1711,30.1,East,1,49.9,16.2
P80429,3320,17.6,1689,5.1,Midlands,0,30.8,18.4
P80430,4427,14.7,1923,8.8,East,0,40.2,16.9
P80431,2885,29.3,2126,29.3,North West,0,35.3,21.9
P80432,6991,9.3,2144,19.1,South East,0,39.5,20.1
P80433,11452,5.0,1567,37.3,South West,0,41.6,17.9
P80434,16955,20.6,1733,33.7,Yorkshire,0,35.9,22.3
P80435,8301,15.0,1913,42.7,Yorkshire,0,32.5,24.3
P80436,18060,11.9,1701,35.5,Yorkshire,0,38.2,25.3
P80437,4012,22.3,2443,23.2,South West,0,30.6,22.1
P80438,3413,19.5,1996,34.6,North East,1,45.8,22.4
P80439,7780,14.6,2094,15.9,East,1,39.3,22.5
