practice_id,region,list_size,imd_score,pct_over_65,patients_per_gp,pct_same_day,dna_rate
P054,London,10349,11.3,13.4,1889.0,47.3,2.4
P055,South West,10343,20.6,10.5,1609.0,54.4,3.3
P056,North West,10349,23.2,7.3,2302.0,46.2,2.8
P057,North West,54916,27.1,27.0,1442.0,40.6,5.9
P058,North East,10642,29.1,21.9,1725.0,49.3,2.7
P059,Midlands,14114,10.8,17.7,1624.0,48.1,2.1
P060,Midlands,12889,6.7,19.7,2379.0,51.7,1.7
P061,Midlands,11079,34.8,11.2,1879.0,39.4,6.3
P062,South East,6833,25.3,32.7,2213.0,47.9,3.0
P063,Midlands,11692,14.5,18.8,1206.0,50.7,4.7
P064,Midlands,5435,37.5,18.7,1907.0,37.4,4.3
P065,London,7106,23.2,22.4,2156.0,34.7,4.1
P066,North West,6276,33.8,20.9,1833.0,38.8,3.7
P067,South East,8334,22.7,19.3,2226.0,44.3,6.4
P068,North East,25451,42.6,13.3,1593.0,46.1,4.3
P069,South West,3144,39.6,20.8,2364.0,37.4,5.5
P070,South East,11274,19.5,29.3,2720.0,36.6,3.9
P071,North West,3571,31.7,26.1,1655.0,51.8,4.7
P072,North East,6318,28.5,27.6,1622.0,51.2,3.7
P073,South East,13789,35.7,14.9,2381.0,42.1,5.0
P074,London,8261,12.4,12.1,2432.0,38.8,3.4
P075,South East,4667,28.9,17.2,1591.0,47.4,4.3
P076,South East,5594,32.6,18.3,1632.0,48.8,5.8
P077,North East,11237,4.4,24.6,1687.0,41.1,4.8
P078,Midlands,5552,10.2,7.8,1262.0,50.8,2.8
P079,North West,8914,2.0,27.2,1433.0,38.8,0.5
P080,South East,8184,19.3,17.1,1398.0,51.8,3.6
P081,London,5775,29.2,15.4,1493.0,46.1,7.7
P082,Midlands,23369,37.0,11.9,1786.0,40.7,4.4
P083,North East,10983,22.7,8.1,1894.0,53.0,6.4
P084,Midlands,2906,38.3,22.9,2420.0,29.5,6.9
P085,Midlands,8781,8.2,18.4,1401.0,41.9,2.1
P086,South East,5746,5.0,10.3,2194.0,48.1,3.6
P087,London,12251,21.4,10.2,1714.0,48.6,6.2
P088,South West,5382,25.8,16.0,1780.0,56.4,3.8
P089,East,7553,21.7,28.0,2070.0,39.6,3.1
P090,North West,10297,2.0,16.4,1351.0,55.3,1.6
P091,South East,12333,21.1,9.0,1953.0,46.5,3.0
P092,South East,4389,9.0,16.5,1867.0,46.9,2.1
P093,London,6767,28.7,16.4,1997.0,43.2,3.0
P094,South East,6308,25.7,4.0,1916.0,50.6,4.9
P095,East,5770,12.6,17.7,2782.0,31.7,2.2
P096,London,19339,16.9,16.6,1545.0,51.5,3.8
P097,East,9795,11.4,22.2,1588.0,55.3,0.9
P098,North East,4258,21.4,29.1,1551.0,40.7,3.7
P099,North West,12659,31.6,24.8,1578.0,44.0,5.3
P100,North East,23115,12.1,16.4,1545.0,50.3,0.8
P101,London,13405,27.0,11.4,2276.0,39.1,5.0
P102,Midlands,3742,16.7,33.4,2368.0,34.4,4.1
P103,East,6279,14.1,18.4,1572.0,45.6,1.8
P104,South West,15072,20.9,18.1,1467.0,50.7,5.8
P105,Midlands,5615,11.6,17.9,1989.0,49.9,3.5
P106,East,9987,16.5,19.2,1579.0,51.1,2.5
P107,South East,11784,10.0,17.1,2053.0,44.1,2.9
P108,North West,5032,41.6,14.6,1881.0,44.0,6.3
P109,North East,7765,22.4,14.7,1194.0,35.2,4.1
P110,Midlands,1582,15.0,17.8,2419.0,45.9,4.0
P111,North West,4793,24.1,14.7,2518.0,28.9,3.1
P112,South West,7050,20.9,13.7,1555.0,49.2,4.2
P113,South East,4286,19.8,18.6,1645.0,41.9,2.0
P114,London,18095,28.1,16.5,1914.0,33.0,4.3
P115,South East,3913,29.6,27.0,1934.0,47.8,2.9
P116,South East,6420,16.7,4.0,2063.0,45.2,3.3
P117,North West,8540,16.2,24.5,2604.0,37.9,4.6
P118,South West,16445,19.2,25.5,1729.0,47.3,4.6
P119,London,3902,2.0,5.6,1481.0,51.4,3.6
P120,South East,14310,6.8,15.9,1248.0,53.5,1.4
P121,South West,8041,35.7,15.8,1508.0,42.3,4.7
P122,Midlands,4897,38.4,9.6,1787.0,48.3,7.0
P123,North West,10079,19.5,13.3,2518.0,36.1,4.1
P124,North West,8837,27.8,11.3,1593.0,37.3,7.4
P125,East,5925,25.1,28.5,1890.0,40.6,4.1
P126,South East,8284,50.0,23.6,1793.0,48.2,6.1
P127,South East,6598,33.2,25.6,2275.0,43.3,4.0
P128,North East,8467,20.7,22.3,2811.0,33.5,3.7
P129,London,11139,12.4,11.2,1588.0,43.7,3.2
P130,East,17680,5.9,14.9,1604.0,49.0,3.6
P131,North West,4308,24.0,20.9,2218.0,49.2,5.0
P132,North West,23241,14.4,10.7,2073.0,45.3,2.7
P133,Midlands,3014,7.8,22.3,2539.0,41.5,0.9
P134,South West,7415,15.5,16.6,2034.0,52.5,1.2
P135,Midlands,10735,11.2,15.8,1656.0,48.4,3.7
P136,London,9206,38.9,22.3,2036.0,34.4,3.7
P137,London,5859,30.8,20.7,2243.0,34.6,1.8
P138,Midlands,7209,21.9,15.8,2128.0,41.5,4.4
P139,South West,6252,36.8,25.0,2003.0,42.6,7.7
P140,South West,5958,22.8,11.5,2227.0,49.4,4.2
P141,Midlands,12234,13.4,21.7,2268.0,41.1,4.0
P142,East,9563,37.2,21.6,2353.0,42.2,5.0
P143,Midlands,5657,27.4,16.1,2059.0,41.1,4.3
P144,Midlands,12543,11.6,20.0,1733.0,46.1,4.0
P145,North East,9328,20.1,10.5,1859.0,35.3,3.7
P146,London,12011,13.2,23.5,2283.0,41.9,3.2
P147,East,10960,8.2,16.9,1473.0,52.6,3.2
P148,North East,5285,31.3,14.9,1947.0,47.0,4.0
P149,Midlands,6045,41.1,24.3,1643.0,26.6,6.3
P150,South West,11624,8.0,13.8,1811.0,61.3,2.7
P151,North West,10855,27.6,9.5,2311.0,39.1,3.8
P152,North West,7916,15.5,8.7,1876.0,50.8,4.4
P153,East,8483,17.1,21.6,1819.0,40.7,2.2
P154,South West,15154,16.1,10.3,1256.0,57.8,3.8
P155,Midlands,5951,13.4,28.5,2099.0,35.5,2.6
P156,London,10516,22.5,5.5,2058.0,38.2,5.8
P157,South East,7230,13.7,28.2,2665.0,47.9,3.3
P158,North West,7174,24.7,19.3,1677.0,42.4,4.0
P159,South East,13857,21.5,17.4,1888.0,46.6,4.8
P160,Midlands,12087,19.6,14.7,1900.0,48.6,5.5
P161,London,12015,12.9,20.4,2431.0,39.3,3.7
P162,London,15366,16.2,17.8,1762.0,43.0,3.4
P163,London,8084,29.6,24.6,1912.0,39.5,2.6
P164,North West,11250,27.0,18.7,2043.0,52.2,2.9
P165,South East,6850,12.2,18.9,1875.0,46.4,2.7
P166,Midlands,9407,23.0,15.8,1621.0,46.7,3.3
P167,North West,7496,29.5,17.7,1878.0,46.6,4.3
P168,North East,8397,5.3,19.8,2229.0,48.2,2.5
P169,London,10772,27.4,7.7,1389.0,51.5,5.4
P170,London,5313,15.4,9.9,1853.0,46.4,3.7
P171,North East,22774,27.7,22.5,1520.0,38.8,4.7
P172,London,4837,14.4,19.0,2278.0,46.3,3.3
P173,North West,4359,4.0,16.9,1191.0,45.1,0.5
P174,London,14274,5.7,18.1,1576.0,46.7,1.4
P175,North West,11884,22.5,20.1,1951.0,37.5,3.6
P176,London,10929,24.6,14.8,2426.0,35.9,2.8
P177,Midlands,10953,13.0,13.3,1774.0,48.1,4.1
P178,South West,7951,28.4,19.2,1578.0,50.2,6.1
P179,North West,5108,5.4,12.1,2552.0,42.8,4.3
P180,Midlands,8309,21.3,20.4,1221.0,56.3,3.4
P181,North West,5702,9.9,7.8,920.0,56.2,5.2
P182,South West,13026,15.5,24.2,1976.0,45.1,3.2
P183,South East,7432,22.5,20.8,1599.0,51.8,3.4
P184,Midlands,5294,13.4,19.5,1392.0,54.2,2.4
P185,London,6812,18.2,23.9,2083.0,32.0,2.9
P186,South East,9834,32.1,28.0,1898.0,44.7,3.7
P187,London,6035,16.2,24.1,1574.0,46.0,3.3
P188,London,5303,30.4,7.0,1288.0,44.5,5.3
P189,Midlands,9036,10.7,10.3,2149.0,51.3,3.3
P190,North West,9042,27.3,14.3,2060.0,40.1,5.0
P191,South West,6208,36.4,18.2,1760.0,46.7,6.4
P192,South West,6321,2.0,21.1,2539.0,43.6,3.2
P193,London,8984,14.0,13.6,1372.0,46.6,1.7
P194,Midlands,3878,27.8,19.1,1190.0,42.3,1.2
P195,Midlands,3957,20.0,13.5,1523.0,40.2,5.0
P196,South East,5585,25.7,14.3,1782.0,54.3,2.7
P197,South West,7190,16.0,9.6,1897.0,45.6,3.5
P198,South West,9345,22.9,12.5,1704.0,44.8,2.8
P199,South East,16728,20.4,9.9,1941.0,36.0,2.0
