practice_code,region,list_size,imd_score,patients_per_gp,pct_65plus,pct_same_day,dna_rate,abx_per_1000
BF637,Midlands,11371,3,2809.0,12.1,50.9,10.2,64.8
BG669,Midlands,14212,1,2375.0,15.9,40.6,11.2,58.9
BH907,South East,10038,6,2278.0,21.8,45.4,0.8,46.3
BI655,Midlands,7578,9,1702.0,34.8,57.5,1.6,36.8
BJ994,East of England,13812,1,2465.0,20.7,38.7,8.9,80.1
BK843,East of England,9257,9,1665.0,25.9,55.1,0.5,37.7
BL170,North East,11471,9,1637.0,27.0,51.0,2.6,47.6
BM452,East of England,11166,3,1965.0,18.8,32.5,9.5,58.8
BN445,Yorkshire,6751,7,1947.0,22.4,37.4,2.7,52.3
BO102,Midlands,8463,2,2027.0,12.0,47.1,9.3,66.5
BP262,North West,12101,8,1926.0,23.8,49.2,2.0,54.0
BQ785,South East,12247,8,2031.0,20.9,46.1,,43.6
BR416,South West,10040,4,2171.0,13.5,44.2,9.3,49.2
BS232,North East,10833,1,2248.0,18.8,45.6,8.4,58.9
BT358,London,10922,10,1713.0,29.0,56.9,2.2,35.1
BU346,South East,7785,5,1922.0,12.1,41.6,3.6,48.4
BV256,Yorkshire,6610,9,1913.0,25.2,62.7,5.3,47.0
BW190,South East,10486,7,1382.0,28.4,65.2,4.9,43.7
BX786,London,8010,8,1676.0,29.9,56.6,2.8,64.0
BY841,South West,8789,8,1262.0,29.7,62.5,4.0,29.9
BZ546,South West,10873,2,1866.0,17.6,52.6,6.4,67.7
CA653,North East,11075,4,2420.0,15.6,51.9,8.8,53.1
CB926,Midlands,12814,5,2223.0,15.6,50.3,5.7,54.6
CC857,East of England,10181,5,1820.0,22.7,52.2,5.6,57.1
CD129,North West,12887,1,1944.0,18.1,44.9,8.6,50.6
CE956,Yorkshire,5499,6,1178.0,28.6,43.3,3.9,51.7
CF160,South West,11102,2,2104.0,22.9,47.1,9.3,81.0
CG123,North East,7113,8,2365.0,23.9,38.3,3.8,44.7
CH462,Midlands,6762,7,1948.0,17.2,43.4,5.5,53.5
CI770,South East,6243,10,1460.0,25.4,67.1,1.7,47.5
CJ172,Yorkshire,8131,8,1876.0,25.7,58.3,4.1,45.2
CK363,Midlands,12231,4,1689.0,18.8,58.5,6.2,54.7
CL336,South West,5347,10,1525.0,24.1,54.2,5.1,21.5
CM457,Midlands,10061,5,2024.0,22.3,37.2,3.5,61.7
CN986,North West,9431,4,2058.0,17.3,42.8,8.8,59.8
CO397,North East,7344,10,1797.0,23.9,55.8,3.9,32.5
CP287,South West,12405,4,2166.0,21.4,44.8,5.5,61.2
CQ209,Yorkshire,12676,1,2487.0,14.2,47.1,12.8,67.0
CR278,East of England,12674,5,1827.0,22.2,44.5,7.4,51.8
CS219,North West,8490,8,1984.0,26.0,53.9,4.8,51.6
CT615,Midlands,9808,2,2647.0,11.7,30.9,8.9,58.9
CU478,South West,9552,5,1757.0,18.6,51.3,5.7,64.9
CV547,East of England,11684,2,2018.0,24.6,41.9,7.9,54.0
CW848,South West,9553,7,2173.0,17.6,42.6,5.1,46.7
CX621,Yorkshire,7831,5,1952.0,10.4,44.9,8.6,74.2
CY239,East of England,10580,4,2430.0,10.5,41.4,7.5,72.2
CZ438,South East,11256,3,2049.0,18.7,41.1,6.3,64.2
DA381,Midlands,14634,6,2283.0,22.4,60.8,6.3,46.8
DB843,Yorkshire,12953,7,1872.0,22.8,49.4,5.6,45.8
DC376,South East,6293,10,1664.0,33.1,53.7,2.3,39.0
DD224,Midlands,9425,5,2391.0,7.6,27.8,7.7,61.0
DE761,East of England,8273,2,2149.0,19.4,34.1,8.0,65.8
DF485,South West,7218,9,1444.0,33.6,53.2,0.7,40.4
DG186,North West,9831,7,1727.0,17.8,45.4,3.2,48.9
DH720,Yorkshire,11211,8,1873.0,22.7,62.7,1.0,35.5
DI289,North East,10141,1,1928.0,12.4,39.5,9.9,66.2
DJ880,Midlands,9091,4,2239.0,15.3,54.1,6.9,69.0
DK848,North West,4505,8,1625.0,23.0,53.4,2.8,35.3
DL432,London,8074,9,1966.0,32.9,53.0,0.5,40.8
DM599,North West,7875,5,1401.0,30.2,48.8,3.6,46.6
DN610,London,7341,9,1483.0,24.1,55.1,4.3,43.5
DO687,Yorkshire,6646,9,1258.0,35.3,70.0,1.0,36.6
DP162,Midlands,10211,4,1873.0,20.0,27.1,7.3,71.4
DQ392,Yorkshire,4884,9,1741.0,34.6,37.8,0.5,45.4
DR253,London,7865,3,2115.0,18.1,38.6,9.9,53.2
DS727,Midlands,15058,3,2096.0,19.3,43.1,7.4,68.8
DT162,Midlands,6625,7,1800.0,25.2,56.0,4.6,43.2
DU564,South East,7006,7,1890.0,39.3,53.8,6.9,42.2
DV754,East of England,14873,2,1987.0,21.7,39.0,10.6,68.1
DW952,North West,14210,9,1856.0,22.3,61.4,2.2,40.2
DX358,South West,8856,2,2405.0,22.2,48.2,7.4,73.9
DY107,Yorkshire,7663,9,1776.0,24.0,55.1,2.1,37.3
DZ750,North East,12283,1,2459.0,13.8,45.9,10.3,66.7
EA101,East of England,12257,8,1834.0,29.1,54.0,3.0,40.4
EB159,North West,6826,8,2268.0,24.8,45.2,2.8,43.3
EC990,Yorkshire,8309,8,1738.0,26.0,57.9,5.5,54.8
ED875,London,10754,7,1763.0,23.5,51.6,4.1,54.6
EE736,North West,10869,5,1811.0,22.7,47.5,9.3,69.6
EF851,South East,8047,8,1501.0,26.7,65.3,3.4,63.3
EG167,South West,10532,3,1848.0,8.9,24.7,10.8,56.5
EH179,London,6050,8,1537.0,27.9,42.0,3.7,45.6
EI370,London,9123,6,1902.0,17.3,39.0,6.8,44.8
EJ121,London,9467,5,2083.0,13.8,43.2,5.2,52.3
EK898,South West,10064,6,1932.0,21.9,46.3,3.8,48.4
EL150,Yorkshire,8489,6,1728.0,22.6,37.3,5.8,44.2
EM589,North West,12543,1,2545.0,12.7,29.9,11.0,63.7
EN867,East of England,13225,2,2424.0,21.6,33.0,8.4,65.8
EO760,East of England,11110,3,2120.0,11.9,62.6,6.1,55.2
EP310,North West,11903,2,2076.0,15.4,56.0,6.6,73.9
EQ522,London,10106,5,2137.0,18.1,42.5,4.0,50.4
ER592,North East,9200,7,1886.0,23.2,47.2,1.6,72.5
ES790,South West,7756,7,1477.0,24.8,42.9,4.3,44.9
ET483,Yorkshire,10632,5,1983.0,16.0,31.3,7.9,58.3
EU356,North East,8205,9,1745.0,29.4,52.8,2.3,32.0
EV815,North West,13786,6,1695.0,22.5,41.5,1.7,66.2
EW896,Yorkshire,14746,1,2367.0,6.7,38.0,9.6,81.7
EX539,Yorkshire,9571,8,1396.0,14.8,41.2,3.6,49.6
EY125,North East,8073,6,2254.0,22.1,40.6,8.2,43.6
EZ550,Yorkshire,6975,7,2151.0,22.3,49.9,2.1,52.7
FA899,North West,11982,6,1856.0,21.7,51.6,4.5,44.3
FB989,Midlands,10125,6,2010.0,22.1,51.3,7.7,65.3
FC460,Midlands,12560,1,1717.0,17.3,31.4,10.0,75.2
FD234,Yorkshire,6110,6,1630.0,26.9,56.7,5.7,52.3
FE614,Yorkshire,10654,8,1686.0,19.0,46.2,3.8,27.8
FF846,North West,11308,4,1811.0,13.9,51.0,7.6,52.8
FG949,North East,6979,7,2018.0,17.9,49.3,5.7,57.0
FH146,North West,10656,1,2819.0,17.6,25.4,8.1,81.6
FI361,London,10927,4,1785.0,26.0,43.5,7.8,67.0
FJ529,South West,10104,5,1790.0,18.8,50.5,4.0,43.9
FK188,South West,7415,10,1658.0,14.5,60.6,2.8,44.5
FL896,East of England,10593,3,2562.0,10.1,39.6,8.4,74.8
FM200,East of England,10296,3,1854.0,14.4,56.5,7.0,50.4
FN698,Yorkshire,10305,5,2062.0,18.2,54.3,6.1,57.5
FO925,South East,10942,10,2055.0,25.0,51.7,0.8,43.4
FP716,South East,3266,9,1267.0,26.0,62.2,0.9,39.2
FQ786,South East,11126,1,1999.0,14.6,56.0,8.9,55.3
FR336,South West,11153,3,2054.0,23.8,58.9,5.8,59.8
FS843,Midlands,8991,9,1549.0,22.4,44.9,3.2,40.5
FT476,South East,10856,1,2523.0,11.9,30.5,7.9,71.0
FU155,South East,4886,9,1740.0,28.2,65.7,3.5,38.1
FV429,Yorkshire,11455,3,1716.0,10.9,36.5,6.3,60.4
FW414,South West,11454,10,1728.0,28.9,44.8,0.7,39.1
FX568,North West,7732,3,2015.0,19.1,39.5,6.7,66.8
FY338,South West,11727,5,2318.0,20.3,48.3,8.0,55.5
FZ515,South East,8542,7,1683.0,31.3,50.3,4.3,44.5
GA484,North West,11077,2,2080.0,14.3,36.4,8.4,68.1
GB393,London,7494,6,2055.0,32.5,42.3,5.3,36.3
GC725,North East,8931,6,2110.0,21.1,41.8,2.0,57.9
GD374,South East,11400,8,1872.0,18.2,44.6,3.6,48.0
GE788,South East,9165,10,1178.0,27.3,76.4,4.6,38.4
GF325,London,12664,7,1974.0,18.0,52.0,4.7,59.0
GG877,South East,12354,5,1741.0,17.2,54.9,6.2,41.2
GH428,North West,10878,5,2058.0,23.0,42.3,6.7,40.8
GI136,Yorkshire,13487,5,1644.0,23.8,46.8,7.2,57.4
GJ234,Midlands,9277,9,1791.0,22.7,47.8,0.5,43.8
GK824,North East,12055,4,1878.0,24.7,24.4,4.0,60.1
GL884,Midlands,10606,2,1919.0,23.2,31.4,8.6,61.4
GM290,Yorkshire,10533,4,2258.0,27.0,29.2,5.4,64.7
GN641,Midlands,10205,1,2380.0,18.8,20.6,11.2,77.8
GO616,Midlands,13179,2,2086.0,24.2,32.0,7.7,69.3
GP220,South East,9243,1,2682.0,6.8,47.7,7.0,71.6
GQ506,Yorkshire,10364,8,1649.0,23.0,52.4,1.5,29.5
GR723,South West,8418,8,1768.0,20.3,62.5,0.5,53.4
GS969,Midlands,11542,7,1907.0,24.0,53.3,3.8,59.7
GT862,Yorkshire,11501,5,1845.0,18.1,53.5,5.8,62.1
GU187,East of England,12441,8,1877.0,23.8,44.4,2.8,39.8
GV313,Midlands,12661,2,2106.0,26.8,45.7,9.7,70.3
GW492,Yorkshire,4855,10,1497.0,26.2,62.3,3.5,46.1
GX235,East of England,9466,6,2260.0,24.3,42.1,4.7,66.4
GY613,North West,5655,10,1339.0,25.8,61.8,0.5,31.8
GZ107,Midlands,10163,2,1636.0,17.8,48.3,9.4,63.5
HA202,East of England,13022,5,2402.0,21.0,40.1,6.8,64.0
HB142,Midlands,10475,7,2477.0,25.6,38.1,4.6,51.8
HC365,South East,8602,5,1898.0,26.8,37.5,7.1,46.4
HD785,Yorkshire,7972,5,1515.0,29.2,49.6,3.8,57.0
HE259,South West,11265,2,2162.0,18.9,43.8,11.5,71.3
HF987,South East,7966,4,2008.0,22.7,38.6,5.2,60.2
HG342,South West,9457,3,2112.0,12.8,43.2,9.1,66.5
HH140,South East,11024,4,1801.0,19.4,50.6,4.3,57.5
HI401,North West,11510,7,1984.0,28.1,54.5,2.6,61.2
HJ772,East of England,10417,7,1971.0,27.7,62.1,6.3,42.2
HK195,North West,4617,7,1466.0,24.5,62.4,3.8,43.8
HL164,South East,11008,4,2254.0,24.2,35.7,7.8,60.0
HM863,East of England,8144,10,2113.0,29.5,66.9,1.9,47.5
HN632,Yorkshire,12427,1,2362.0,22.2,34.4,8.9,57.7
HO408,South West,13632,4,1995.0,21.2,53.4,8.8,49.3
HP779,North West,7073,2,,15.6,41.5,8.3,51.2
HQ859,East of England,9217,4,2233.0,21.5,40.5,4.1,60.7
HR422,London,9181,10,1167.0,12.3,43.7,1.2,32.1
HS604,North East,7236,4,2121.0,21.7,43.0,7.5,56.9
HT109,East of England,10951,10,1502.0,8.8,44.0,3.2,48.0
HU375,South East,10736,5,2461.0,12.4,51.9,4.0,54.8
HV635,North East,10893,7,1796.0,25.7,62.7,3.0,51.1
HW277,East of England,8858,5,2416.0,23.4,38.0,5.0,55.2
HX991,Yorkshire,12427,3,1884.0,12.8,46.5,7.4,69.5
HY973,London,10936,8,1906.0,21.0,45.7,1.5,51.3
HZ331,North West,8465,10,1679.0,33.9,50.6,0.5,32.7
IA456,South West,11268,3,1942.0,16.2,50.0,6.7,62.2
IB270,South West,9340,8,1804.0,35.8,51.7,4.0,52.6
IC553,North West,9073,3,2463.0,18.6,55.1,8.9,67.8
ID211,Yorkshire,8504,8,1679.0,26.6,48.7,3.1,34.5
IE451,East of England,8494,8,1337.0,32.7,62.3,2.4,48.7
IF599,London,10766,5,1995.0,21.7,47.3,6.1,48.0
IG650,Midlands,10799,8,1534.0,19.6,59.7,2.4,58.0
IH636,North West,8682,3,2074.0,18.1,39.6,6.0,71.8
II299,North West,11349,1,2299.0,16.0,38.6,8.0,73.0
IJ812,South West,14562,1,1893.0,9.4,40.1,8.8,72.1
IK721,Midlands,8512,5,1596.0,19.7,41.8,4.3,54.2
IL777,South East,6355,10,1720.0,23.3,60.7,2.1,45.9
IM520,Midlands,11604,2,2109.0,22.0,46.7,9.4,63.0
IN902,South West,11688,5,1358.0,21.2,54.5,3.6,56.7
IO450,North West,8822,8,1956.0,23.2,63.5,3.5,54.2
IP824,North West,13457,3,2228.0,18.1,54.0,7.4,59.6
IQ282,South West,10513,8,1581.0,25.7,50.1,3.8,40.7
IR322,South West,12083,4,1750.0,22.9,49.2,6.6,49.1
IS573,Yorkshire,9508,9,1888.0,20.8,48.1,0.6,36.0
IT599,Midlands,14255,6,2007.0,17.0,48.2,3.5,40.0
IU770,Midlands,9189,6,2515.0,27.7,40.6,4.9,59.8
IV367,Midlands,7192,2,2345.0,15.3,53.2,10.2,82.4
IW884,North West,13208,5,2096.0,13.9,48.9,3.0,69.9
IX396,South West,7484,9,1638.0,28.0,52.6,2.9,29.3
IY580,Yorkshire,11815,1,2524.0,18.5,47.4,11.1,76.7
IZ937,London,11419,8,1916.0,16.9,34.1,3.5,59.7
JA584,North East,6795,5,2312.0,22.1,28.8,6.7,53.9
JB713,North East,6296,8,1629.0,28.3,59.2,2.1,46.0
JC916,London,5997,7,1731.0,25.3,51.3,4.0,33.1
JD976,Yorkshire,8411,5,1880.0,24.2,49.1,3.4,57.9
JE548,London,11279,4,2277.0,12.8,33.0,3.6,53.8
JF474,North West,10248,7,2214.0,25.1,48.2,5.6,52.2
JG277,South West,11752,2,2125.0,15.9,57.4,7.1,54.7
JH583,London,6774,6,1813.0,19.8,55.5,4.5,57.8
JI925,South East,6979,1,2398.0,20.6,39.9,7.1,78.3
JJ537,North West,9308,7,1778.0,30.8,47.1,1.7,41.9
JK413,Yorkshire,8256,7,2078.0,32.4,46.0,3.5,39.7
JL196,Midlands,12518,1,1757.0,22.8,24.7,8.0,50.5
JM450,East of England,10203,8,1553.0,24.1,55.3,4.0,43.7
JN312,Yorkshire,10276,5,1804.0,22.8,54.2,6.5,51.2
JO978,North East,10320,8,1179.0,28.4,42.5,3.7,31.4
JP574,Midlands,12058,1,2079.0,16.8,34.8,9.7,73.5
JQ223,Yorkshire,47,2,2011.0,18.1,32.7,10.9,62.8
JR160,Midlands,8590,5,1949.0,25.1,39.0,4.1,47.2
JS864,North West,10840,2,2518.0,17.1,39.8,8.5,63.7
JT937,Yorkshire,10793,4,2018.0,16.2,28.2,8.7,69.4
JU785,London,10841,7,1582.0,21.3,56.5,6.2,54.3
JV211,Midlands,10412,2,2225.0,20.6,46.9,6.2,65.5
JW188,Yorkshire,10242,7,2102.0,23.4,47.0,3.8,55.6
JX277,East of England,10668,2,1996.0,19.1,22.2,10.5,56.9
JY775,South East,10964,2,2012.0,20.8,34.0,9.1,66.1
JZ788,Midlands,11259,6,2059.0,20.3,57.6,5.5,55.3
KA853,East of England,4813,8,1704.0,28.4,30.3,2.9,41.7
KB187,South West,8607,2,2401.0,19.3,37.2,7.9,70.8
KC237,East of England,7835,3,2156.0,12.4,33.3,8.4,58.7
KD909,South West,3332,10,1775.0,34.2,61.6,0.9,42.6
KE934,South East,6643,10,1341.0,24.5,51.9,1.7,43.5
KF752,North East,11098,6,1916.0,13.9,51.7,5.6,31.6
KG195,Midlands,9430,5,1947.0,15.8,51.3,5.2,67.2
KH161,London,10795,4,1776.0,14.7,60.8,7.9,36.0
KI149,South West,11378,7,1449.0,23.7,50.6,8.6,43.7
KJ721,Midlands,12255,6,2091.0,20.8,50.6,2.5,62.3
KK860,North West,10661,3,2072.0,16.9,31.3,8.2,61.3
KL667,East of England,14307,1,2064.0,19.3,49.7,8.1,57.6
KM335,North West,11384,2,2215.0,19.1,34.8,9.3,58.1
KN780,London,6325,10,1882.0,28.6,50.1,1.6,48.1
KO153,East of England,8811,5,1429.0,23.0,49.2,7.0,39.3
KP844,London,7038,5,1625.0,24.1,35.9,7.6,64.1
KQ901,South East,8223,5,1769.0,10.5,49.5,6.8,57.8
KR745,London,8083,8,2125.0,22.8,58.1,5.2,38.3
KS890,London,13207,1,2390.0,5.3,40.9,6.4,68.4
KT626,London,15041,1,2511.0,16.4,25.2,11.8,63.1
KU521,South East,8035,3,1874.0,18.6,43.1,8.2,69.8
KV389,South East,10785,5,1720.0,26.2,53.8,7.3,60.8
KW928,North East,7118,7,1951.0,29.3,34.7,2.1,35.2
KX726,East of England,10949,5,2014.0,22.0,37.8,4.7,53.4
KY271,North West,9737,5,2137.0,18.5,52.8,6.3,50.8
KZ960,South East,4338,10,1553.0,29.4,58.4,1.5,49.1
LA153,London,13056,2,2309.0,14.8,43.8,9.1,57.2
LB628,Midlands,8389,6,1959.0,22.2,63.1,6.7,66.3
LC271,North West,8532,6,2114.0,27.1,51.2,2.2,52.7
LD697,Yorkshire,7860,5,2201.0,18.2,50.8,7.6,48.7
LE470,London,7091,9,1275.0,29.8,77.8,2.3,35.4
LF492,North West,11655,3,1598.0,22.0,43.8,7.2,55.0
LG703,North West,7621,10,1850.0,22.2,48.4,0.5,30.9
LH779,South East,11057,4,2376.0,24.7,46.5,7.3,60.9
LI441,South East,10323,6,1664.0,25.7,53.2,1.3,42.0
LJ996,North West,12241,6,1455.0,22.7,46.5,6.0,34.4
LK548,Yorkshire,7714,9,1704.0,22.0,45.7,0.5,40.7
LL244,South West,7046,5,2232.0,16.7,63.8,6.2,43.9
LM105,London,12934,3,2609.0,15.9,43.1,7.6,59.6
LN281,London,10937,1,2449.0,18.9,32.4,11.0,63.3
