practice_code,list_size,patients_per_gp,imd_decile,pct_65_plus,pct_same_day,pct_wait_15plus,region
P00075,8729,2099,6,24.0,34.5,17.1,North East
P00076,9099,2058,4,23.1,45.7,18.2,East
P00077,7707,2665,3,22.6,36.9,16.9,Midlands
P00078,3065,1677,1,15.7,52.2,18.7,South West
P00079,7894,1888,4,12.6,46.1,16.5,North West
P00080,8244,1900,7,14.9,44.0,8.2,London
P00081,27414,2431,10,19.0,26.6,22.2,East
P00082,7266,1762,9,20.7,46.3,16.3,London
P00083,9301,1912,8,7.1,40.6,13.9,South West
P00084,7862,2043,8,18.0,36.2,16.0,North East
P00085,4459,1875,7,18.8,40.9,20.1,North West
P00086,14166,1621,3,16.6,33.8,21.6,South West
P00087,11651,1878,10,24.5,40.1,22.8,Midlands
P00088,11881,2229,7,20.1,32.1,18.7,East
P00089,5077,1389,6,24.6,35.1,19.0,South West
P00090,16132,1853,2,16.9,35.0,14.8,East
P00091,3969,1520,5,22.7,50.1,14.3,London
P00092,10728,2278,5,26.2,35.8,15.5,North East
P00093,23918,1191,9,24.6,51.0,11.2,East
P00094,4875,1576,6,12.5,39.1,16.3,South East
P00095,6027,1951,5,16.7,31.0,19.4,Midlands
P00096,8408,2426,10,16.3,28.2,23.3,London
P00097,6219,1774,2,20.4,51.9,14.6,North West
P00098,3684,1578,5,21.4,42.2,13.5,Midlands
P00099,8279,2552,1,13.8,38.1,21.2,North West
P00100,4703,1221,8,18.3,43.5,12.4,South East
P00101,10137,920,10,7.9,45.4,20.8,South East
P00102,5051,1976,4,25.2,48.6,14.3,London
P00103,17364,1599,9,15.4,48.5,16.8,South West
P00104,5407,1392,4,18.3,42.7,10.1,Midlands
P00105,6810,2083,10,16.5,28.6,20.3,East
P00106,12015,1898,8,23.7,36.6,24.3,North West
P00107,4323,1574,9,5.0,41.5,21.8,Midlands
P00108,8963,1288,1,17.9,42.0,17.7,East
P00109,15379,2149,10,17.5,30.5,24.7,North West
P00110,3581,2060,8,15.7,40.4,16.6,East
P00111,8773,1760,4,26.6,42.7,16.1,Midlands
P00112,9110,2539,9,13.6,35.3,20.4,South East
P00113,11826,1372,4,21.9,40.4,21.2,London
P00114,4310,1190,9,19.8,40.5,13.4,North East
P00115,4133,1523,2,24.3,40.2,18.9,London
P00116,10385,1782,8,14.7,45.0,23.5,South East
P00117,9280,1897,6,14.3,46.9,26.5,Midlands
P00118,9067,1704,2,23.5,33.8,14.4,Midlands
P00119,9513,1941,3,20.1,37.3,20.4,North West
P00120,5694,1299,1,10.3,38.7,22.9,London
P00121,8985,2378,5,15.3,35.2,18.0,South West
P00122,9262,1767,4,19.9,42.5,11.3,North West
P00123,5597,2247,7,22.2,29.5,13.7,East
P00124,20334,1937,4,14.6,36.6,21.0,North East
P00125,10138,1983,4,5.0,35.9,10.8,East
P00126,4409,2028,8,20.6,39.7,19.4,North East
P00127,11108,1979,1,11.9,44.7,18.3,North West
P00128,4914,2057,10,7.9,32.4,23.0,South East
P00129,11857,2332,9,5.0,37.2,24.4,North West
P00130,14278,1879,7,22.1,36.7,20.6,North West
P00131,5307,2084,7,18.6,37.4,25.6,North West
P00132,12950,1764,9,16.9,49.0,16.6,Midlands
P00133,9833,2376,3,24.9,48.8,16.6,Midlands
P00134,12066,1529,1,21.2,38.8,11.6,South West
P00135,20652,2520,3,26.1,45.0,23.2,Midlands
P00136,7076,1784,8,11.0,44.5,23.5,South East
P00137,5488,1228,1,17.8,41.2,15.3,North East
P00138,5127,1851,6,9.9,45.9,23.7,South East
P00139,5320,1528,10,16.9,48.6,15.4,London
P00140,7697,2136,9,16.8,30.4,28.6,Midlands
P00141,9487,1539,6,21.1,37.0,23.8,North West
P00142,9186,1622,1,18.2,52.2,18.0,Midlands
P00143,12097,1044,9,21.1,44.2,24.7,South East
P00144,8052,1619,7,21.5,44.6,12.0,Midlands
P00145,16547,830,2,28.8,51.3,10.4,South West
P00146,7008,1166,2,16.4,49.9,10.9,East
P00147,31172,2104,10,13.3,28.5,25.3,East
P00148,10938,2114,7,19.2,45.1,16.5,Midlands
P00149,5211,1970,9,14.0,45.0,24.3,South West
P00150,4683,1413,9,25.4,39.4,24.5,North East
P00151,10182,1781,6,16.6,41.0,21.5,London
P00152,7154,1799,6,15.2,32.0,19.9,Midlands
P00153,11432,1337,5,15.6,47.4,12.4,South West
P00154,10135,2401,4,21.6,43.2,16.6,East
P00155,7713,2151,5,17.2,39.9,24.6,London
P00156,5238,1712,8,14.8,46.8,22.8,Midlands
P00157,3750,1811,7,26.3,38.3,19.3,North East
P00158,6399,1883,9,13.7,41.8,19.3,Midlands
P00159,12275,983,5,18.2,40.0,6.8,London
P00160,8903,1701,7,21.3,40.8,14.7,East
P00161,4291,1527,7,9.8,40.7,26.0,Midlands
P00162,8723,1399,7,20.4,43.8,12.7,North West
P00163,9699,1688,8,12.7,37.9,20.3,South East
P00164,5142,2519,3,22.1,39.2,23.9,Midlands
P00165,8639,2056,6,13.2,44.9,14.8,Midlands
P00166,8236,1572,2,21.5,42.9,16.2,London
P00167,4517,2029,5,23.5,31.2,22.9,London
P00168,9567,2360,6,22.3,48.9,21.1,North East
P00169,10589,2170,7,19.3,46.8,32.4,South East
P00170,13749,1824,10,16.8,30.1,14.6,South East
P00171,13549,1541,7,15.1,45.8,22.6,Midlands
P00172,4017,2079,8,25.4,35.2,20.4,North East
P00173,5005,1957,6,14.5,42.0,22.5,London
P00174,10349,2158,7,12.8,40.4,22.6,Midlands
P00175,10343,2054,1,21.3,42.5,13.9,London
P00176,10349,2220,3,14.0,36.8,19.6,London
P00177,40000,1586,4,13.2,39.7,9.3,London
P00178,10642,2327,5,10.8,33.9,22.7,North East
P00179,14114,1879,1,15.6,39.8,17.3,London
P00180,12889,2630,2,17.6,39.8,22.3,London
P00181,11079,1524,4,19.2,39.9,20.7,Midlands
P00182,6833,2494,10,22.8,38.6,25.4,East
P00183,11692,1879,4,20.6,51.3,18.5,South East
P00184,5435,1539,6,17.0,39.0,14.2,Midlands
P00185,7106,1606,3,17.0,46.0,13.4,London
P00186,6276,1672,7,20.6,44.0,23.6,Midlands
P00187,8334,1970,4,24.4,44.8,24.0,Midlands
P00188,25451,2009,3,18.6,43.0,16.9,Midlands
P00189,3144,1571,6,15.7,46.8,18.1,South West
P00190,11274,1790,1,13.0,48.1,12.1,South East
P00191,3571,2657,1,10.8,33.5,23.9,London
P00192,6318,2491,3,21.3,45.4,22.4,South West
P00193,13789,1975,1,20.9,49.7,24.3,London
P00194,8261,1815,2,20.9,39.7,12.9,North East
P00195,4667,1848,4,17.4,42.8,16.3,East
P00196,5594,2045,9,25.0,41.7,22.5,East
P00197,11237,1391,6,15.6,42.0,19.7,East
P00198,5552,1697,6,22.8,48.2,17.5,North West
P00199,8914,1133,4,17.8,60.3,11.4,North West
P00200,8184,1960,10,15.0,32.5,25.4,South East
P00201,5775,2059,5,21.0,32.4,22.1,North West
P00202,23369,1607,2,20.0,47.2,12.0,Midlands
P00203,10983,2430,7,19.8,41.6,27.3,Midlands
P00204,2906,1310,2,18.4,45.5,19.1,North East
P00205,8781,1214,4,17.8,54.4,15.8,South East
P00206,5746,1890,6,29.9,32.7,19.5,South East
P00207,12251,2219,9,23.9,40.9,24.5,East
P00208,5382,2474,6,21.6,34.2,18.0,London
P00209,7553,1616,8,18.6,50.8,19.4,Midlands
P00210,10297,2231,10,23.0,47.8,14.3,East
P00211,12333,1785,2,20.6,39.9,19.8,North West
P00212,4389,1731,4,18.1,39.8,11.1,Midlands
P00213,6767,2153,5,16.5,45.4,25.6,South East
P00214,6308,2061,5,17.6,38.4,17.9,South West
P00215,5770,1169,5,5.0,44.9,14.8,East
P00216,19339,2391,10,19.1,35.2,21.1,Midlands
P00217,9795,2352,8,15.6,25.3,21.1,Midlands
P00218,4258,1550,7,26.0,41.6,24.1,London
P00219,12659,1958,4,18.1,37.9,8.3,London
P00220,23115,1998,9,12.1,34.9,26.5,East
P00221,13405,1904,10,17.8,46.1,23.0,South West
P00222,3742,1580,9,12.8,32.4,14.9,North West
P00223,6279,1531,1,20.4,51.4,10.4,London
P00224,15072,1790,7,19.5,38.8,26.1,North West
P00225,5615,2269,1,22.8,41.2,13.9,East
P00226,9987,2017,3,14.0,47.3,13.3,Midlands
P00227,11784,1652,1,18.2,48.0,19.8,London
P00228,5032,2109,7,11.2,42.3,22.0,North West
P00229,7765,800,7,21.5,51.2,11.6,North East
P00230,2000,2260,2,20.6,40.1,19.1,South West
P00231,4793,1104,5,20.5,41.8,11.3,East
P00232,7050,1655,5,18.0,36.2,22.0,North West
P00233,4286,1352,4,20.1,40.1,20.1,East
P00234,18095,1282,2,26.0,64.7,16.5,North West
P00235,3913,2264,5,16.6,47.1,21.5,London
P00236,6420,1613,8,18.7,32.4,26.3,South East
P00237,8540,1939,1,12.6,36.6,16.4,South East
P00238,16445,1781,2,13.7,47.4,11.6,East
P00239,3902,1991,4,18.5,45.1,20.2,North East
P00240,14310,1831,10,23.5,41.1,29.7,North West
P00241,8041,1287,7,16.7,41.4,13.3,South East
P00242,4897,2199,7,16.8,37.7,19.5,South East
P00243,10079,1602,4,16.0,45.8,18.5,North East
P00244,8837,1177,7,15.3,44.0,16.7,Midlands
P00245,5925,1629,1,19.5,32.7,11.2,South East
P00246,8284,2400,7,10.5,36.0,26.3,North West
P00247,6598,2140,10,24.4,31.2,31.8,London
P00248,8467,1661,7,14.7,42.1,19.6,South West
P00249,11139,1660,9,21.6,57.4,16.4,Midlands
P00250,17680,1671,8,11.7,42.4,13.3,London
P00251,4308,2631,2,21.3,38.4,20.8,East
P00252,23241,1953,10,21.4,42.8,26.2,South East
P00253,3014,1972,1,19.9,47.2,18.4,London
P00254,7415,2212,6,13.0,41.7,20.4,South East
P00255,10735,1896,2,19.2,47.6,14.4,North East
P00256,9206,1696,1,12.1,58.1,11.0,Midlands
P00257,5859,1721,5,16.7,35.6,21.2,Midlands
P00258,7209,1771,4,23.1,45.8,21.1,London
P00259,6252,1785,6,22.0,35.7,12.6,London
P00260,5958,2091,6,18.1,43.1,26.3,Midlands
P00261,12234,1821,1,13.1,39.6,18.2,North East
P00262,9563,2093,2,21.2,40.4,23.2,East
P00263,5657,1768,6,18.1,39.6,13.3,London
P00264,12543,1831,4,6.4,48.5,12.3,Midlands
P00265,9328,1001,8,21.9,49.1,16.2,East
P00266,12011,2167,7,17.9,31.1,22.9,South West
P00267,10960,1939,9,24.0,38.4,28.3,North East
P00268,5285,2199,7,12.5,34.1,23.8,London
P00269,6045,800,5,5.0,39.4,13.2,East
P00270,11624,2635,7,19.4,34.9,18.6,North East
P00271,10855,1744,4,19.5,41.2,22.3,East
P00272,7916,2243,4,9.5,55.1,15.5,North West
P00273,8483,1384,8,13.1,44.3,24.9,South West
P00274,15154,2045,5,31.8,32.5,18.0,East
P00275,5951,1379,8,16.5,38.3,24.7,South East
P00276,10516,1550,9,21.7,46.2,22.3,South West
P00277,7230,2566,9,14.7,47.5,23.1,North West
P00278,7174,1724,10,7.5,28.9,18.8,North East
P00279,13857,1887,5,17.1,30.3,17.2,East
P00280,12087,2148,4,16.7,52.3,20.7,South East
P00281,12015,1998,6,16.0,42.5,19.9,North East
P00282,15366,1860,5,17.4,36.5,16.1,North East
P00283,8084,1946,7,19.3,42.9,19.3,London
P00284,11250,2761,8,17.2,19.0,24.2,South West
P00285,6850,1777,7,11.7,40.5,10.8,South East
P00286,9407,1880,5,20.4,43.6,20.4,South East
P00287,7496,2220,2,8.3,47.8,14.2,East
P00288,8397,2242,5,7.7,33.7,15.4,North West
P00289,10772,2275,2,21.7,42.5,11.5,North West
P00290,5313,2055,9,20.5,32.0,14.4,East
P00291,22774,1343,4,17.7,46.6,10.3,South West
P00292,4837,2453,2,11.0,35.8,16.2,North East
P00293,4359,1341,1,14.5,45.0,21.8,Midlands
P00294,14274,1921,7,16.7,33.8,17.8,East
P00295,11884,1498,7,10.0,45.8,18.9,South East
P00296,10929,1774,4,14.3,48.1,19.1,East
P00297,10953,1932,1,21.3,43.1,16.9,South East
P00298,7951,1929,5,25.1,41.6,18.4,South West
P00299,5108,1969,4,15.9,33.3,13.5,North East
P00300,8309,2445,7,21.8,35.4,27.8,South West
P00301,5702,1981,7,8.4,39.2,27.4,North West
P00302,13026,1702,4,21.3,59.0,10.5,Midlands
P00303,7432,2186,3,14.0,35.0,14.4,North East
P00304,5294,2276,10,19.5,44.4,22.0,South East
P00305,6812,1309,5,16.8,50.4,12.4,London
P00306,9834,2039,7,24.6,40.9,22.4,South East
P00307,6035,2080,2,13.6,53.5,14.6,Midlands
P00308,5303,1681,6,21.1,44.0,27.0,London
P00309,9036,2350,1,16.6,44.8,22.8,South West
P00310,9042,1740,6,17.2,41.2,19.4,South West
P00311,6208,1850,10,17.1,45.1,25.5,London
P00312,6321,1731,5,13.8,48.9,22.3,North West
P00313,8984,1806,1,17.9,41.4,13.6,East
P00314,3878,1361,1,17.7,39.5,10.8,London
P00315,3957,1224,5,19.2,43.7,16.2,North West
P00316,5585,2438,2,18.4,36.4,22.4,North West
P00317,7190,1461,1,22.0,46.5,15.0,South West
P00318,9345,1403,8,22.6,49.0,12.1,North West
P00319,16728,939,5,12.7,43.6,11.5,South West
P00320,12283,1544,4,22.3,43.8,16.3,Midlands
P00321,7385,1271,10,12.1,41.0,18.8,London
P00322,7924,2457,2,20.9,46.2,26.9,North West
P00323,4846,2204,10,21.1,22.5,17.3,North West
P00324,7926,1525,4,8.4,40.5,18.5,London
P00325,6924,2701,9,18.5,35.6,30.2,South West
P00326,9400,2193,7,15.7,45.6,30.1,East
P00327,5290,1670,9,14.2,36.5,18.5,Midlands
P00328,10372,800,10,24.8,31.7,19.2,Midlands
P00329,17215,2716,4,14.7,41.9,23.5,East
P00330,7576,1244,10,14.0,37.0,19.8,North West
P00331,9779,1142,5,18.4,38.2,15.2,North West
P00332,11296,2209,5,21.4,36.2,21.6,North East
P00333,6545,2776,4,17.3,36.8,11.4,East
P00334,8948,2354,6,23.8,34.8,23.7,Midlands
P00335,8050,2026,2,20.7,30.0,17.8,Midlands
P00336,8400,2038,6,7.1,45.4,18.9,South West
P00337,5435,2141,6,15.4,47.1,28.4,East
P00338,8098,2104,8,15.2,42.0,18.5,North West
P00339,10261,1912,9,20.4,31.4,19.4,London
P00340,16527,1842,5,5.0,40.6,26.3,East
P00341,12923,1775,4,30.7,42.9,14.2,Midlands
P00342,23477,1498,3,20.7,48.7,13.6,London
P00343,5450,1688,3,18.7,48.2,16.0,Midlands
P00344,12374,1123,1,23.9,44.2,16.5,South West
P00345,8768,1761,4,29.7,43.5,18.3,East
P00346,23911,1405,4,22.4,47.5,10.8,South East
P00347,5340,1359,10,22.7,48.9,17.3,North East
P00348,5257,1872,6,18.7,45.1,16.7,Midlands
P00349,5928,2357,4,17.3,44.8,19.5,London
P00350,2766,2167,6,15.6,39.9,22.0,East
P00351,6150,1172,2,13.9,56.0,15.6,Midlands
P00352,5473,1404,5,14.6,46.4,9.5,South East
P00353,8624,2176,7,11.2,33.4,25.2,Midlands
P00354,9490,1407,6,17.6,51.6,18.2,East
P00355,20440,1710,5,9.6,46.6,23.4,South East
P00356,12866,2020,10,19.0,34.2,23.9,South East
P00357,5995,1413,9,17.8,37.9,23.5,London
P00358,5105,1842,7,18.7,42.0,21.4,South East
P00359,10230,1266,6,15.4,46.6,22.1,North East
P00360,4134,1559,7,33.4,42.8,20.5,Midlands
P00361,19988,1928,3,24.8,44.8,17.1,South East
P00362,14427,1163,5,11.8,55.4,24.7,London
P00363,6327,1976,1,19.2,50.7,20.1,South West
P00364,3396,1792,5,15.0,43.2,20.5,East
P00365,15742,2021,6,12.9,45.7,14.6,South West
P00366,7554,1890,3,11.3,37.0,12.2,East
P00367,14855,2346,10,20.2,37.7,24.6,Midlands
P00368,3604,1850,10,14.6,48.6,22.0,London
P00369,5928,1628,8,22.8,39.2,16.9,East
P00370,8021,1849,6,23.0,35.9,19.6,Midlands
P00371,8190,2017,9,24.9,33.8,27.8,North West
P00372,6387,1820,2,13.7,37.8,19.3,East
P00373,10922,1816,8,20.4,34.8,15.5,London
P00374,4690,1519,2,21.2,43.6,14.8,London
P00375,7450,1535,8,15.6,32.5,15.7,North East
P00376,8495,1239,4,14.1,45.7,13.8,South East
P00377,10346,2500,9,26.0,40.7,21.7,South East
P00378,11418,1302,10,19.1,35.0,17.3,London
P00379,4559,1523,2,21.2,54.9,10.3,London
P00380,3715,1513,5,13.9,46.5,16.5,North East
P00381,15154,2158,10,11.9,42.4,20.4,London
P00382,9446,1682,6,15.2,37.8,6.6,Midlands
P00383,5502,2299,9,17.4,41.4,30.8,North West
P00384,17374,1531,6,12.7,36.0,22.1,Midlands
P00385,8476,1912,5,18.0,46.8,17.1,London
P00386,14426,1466,4,9.6,45.5,16.3,North East
P00387,8274,2658,3,12.4,42.6,15.7,London
P00388,22416,1325,8,21.4,34.9,24.9,North East
P00389,19242,1924,5,21.0,36.0,26.3,East
P00390,7063,2054,6,16.0,43.5,20.4,Midlands
P00391,13003,1966,6,12.9,34.7,23.6,Midlands
P00392,11046,1726,6,12.9,44.3,19.2,Midlands
P00393,15859,1748,9,16.1,30.9,15.0,South West
P00394,4938,1818,10,21.2,43.0,19.6,East
P00395,11273,1741,5,22.6,34.9,18.5,East
P00396,13580,2186,9,15.5,40.2,20.3,South West
P00397,3320,2684,8,12.2,38.9,22.7,North West
P00398,4427,1577,6,19.3,38.1,17.5,East
P00399,2885,1252,10,13.9,44.2,18.7,East
P00400,6991,1765,3,15.4,45.3,17.1,Midlands
P00401,11452,2832,2,24.6,36.0,16.3,Midlands
P00402,16955,1479,9,22.1,34.4,16.4,South East
P00403,8301,2456,5,18.8,26.9,15.7,East
P00404,18060,2471,9,11.6,37.5,27.2,London
P00405,4012,1579,9,19.1,30.5,11.3,Midlands
P00406,3413,2028,1,23.3,44.6,21.3,South East
P00407,7780,2451,9,16.1,34.0,28.8,South East
P00408,9693,1648,5,24.8,46.8,16.4,South West
P00409,7870,1719,6,24.5,39.8,8.1,East
P00410,2845,1567,7,26.3,39.6,17.0,London
P00411,7651,1394,10,19.5,44.4,19.3,Midlands
P00412,4167,1540,1,20.9,48.5,10.7,London
P00413,11181,1310,5,25.1,46.3,14.2,London
P00414,9609,1814,7,20.2,43.1,25.6,Midlands
P00415,5000,1492,8,15.5,31.9,21.4,Midlands
P00416,6187,1894,7,15.8,44.5,16.1,South East
P00417,4710,1178,2,19.2,51.2,7.5,South East
P00418,7753,1932,4,11.5,36.0,16.8,London
P00419,12897,2133,4,17.3,39.7,18.1,South East
P00420,4886,1003,9,23.5,42.6,19.4,East
P00421,10293,1950,4,7.0,41.2,16.1,East
P00422,6136,2291,3,25.7,43.1,21.0,South West
P00423,5381,1316,10,23.6,49.0,27.0,Midlands
P00424,7583,2469,1,15.7,48.3,21.7,East
P00425,4767,1968,10,20.7,29.3,21.7,London
P00426,6065,1518,7,18.0,45.5,17.5,North East
P00427,4395,1778,9,24.1,46.9,19.1,East
P00428,21366,2023,4,22.9,44.0,23.2,London
P00429,8142,1830,1,11.0,51.6,13.4,London
P00430,5638,2016,8,20.9,50.6,21.0,East
P00431,8903,1432,9,17.0,46.8,19.3,Midlands
P00432,7563,1868,8,18.4,40.8,18.3,London
P00433,7163,1235,2,14.4,53.5,8.6,South East
P00434,10875,1756,8,26.7,40.7,21.1,Midlands
P00435,11683,1438,8,23.2,41.6,18.3,North West
P00436,6136,1506,7,14.3,39.8,20.2,North East
P00437,5998,2294,8,11.3,46.5,19.8,East
P00438,6972,2237,9,16.1,31.7,27.2,South East
P00439,2530,2044,7,20.2,48.4,16.9,Midlands
P00440,3750,1363,2,19.2,49.6,21.5,Midlands
P00441,15845,1673,6,24.3,33.4,11.3,South West
P00442,18209,2285,1,21.9,45.0,19.5,London
P00443,7063,1857,5,22.8,29.1,20.3,East
P00444,10673,2728,5,19.6,41.1,18.7,East
P00445,9347,1957,1,11.1,49.7,18.1,Midlands
P00446,37295,1877,4,17.0,38.9,23.0,North West
P00447,14002,1676,2,23.3,45.8,7.0,South East
P00448,7504,1853,9,17.7,50.3,22.8,Midlands
P00449,4961,1739,10,20.5,35.3,11.0,North West
P00450,3583,2083,1,16.4,37.4,13.1,Midlands
P00451,8856,2183,10,12.9,45.0,29.2,East
P00452,5480,1486,6,17.4,54.5,15.2,North West
P00453,3928,1268,4,19.5,45.5,10.8,South West
P00454,5790,1066,1,14.7,54.9,12.1,North East
P00455,4658,2003,6,16.8,48.2,27.9,London
P00456,18597,1359,8,13.3,37.4,10.9,South West
P00457,12431,939,8,23.6,41.0,12.4,South West
P00458,7968,1955,1,16.5,51.8,22.4,Midlands
P00459,16767,2797,1,25.3,50.3,27.2,North East
P00460,8315,1798,5,25.6,45.4,17.8,Midlands
P00461,5200,2135,4,17.6,35.8,14.0,North East
P00462,17132,1833,3,13.0,55.4,25.5,Midlands
P00463,10474,1760,4,7.6,39.8,23.8,South West
P00464,4762,2168,9,10.6,35.0,24.8,North East
P00465,7273,1684,10,11.1,40.6,17.5,South East
P00466,5163,1907,5,24.9,50.8,18.4,South East
P00467,4006,1929,10,18.6,42.5,21.1,Midlands
P00468,12711,1533,4,19.9,46.6,17.9,South East
P00469,20783,2197,5,6.9,42.8,25.6,London
P00470,3975,1730,3,12.0,44.2,20.2,North West
P00471,10600,1498,7,22.4,45.3,13.9,Midlands
P00472,5778,2015,10,19.4,21.7,27.6,Midlands
P00473,6270,1441,7,17.3,40.4,19.2,East
P00474,5949,1811,4,20.8,44.2,20.4,Midlands
P00475,5193,1796,7,26.2,33.5,25.3,East
P00476,8196,2234,2,16.9,44.5,13.7,London
P00477,5280,1990,9,18.3,36.6,21.2,Midlands
P00478,9158,1790,6,19.0,51.8,16.6,East
P00479,7801,2127,5,30.0,49.8,13.2,North West
P00480,7099,2356,6,7.5,35.6,22.4,North West
P00481,5081,2023,7,21.4,38.4,30.3,South West
P00482,5995,1804,1,17.4,44.7,8.5,London
P00483,11671,1275,7,20.8,40.3,17.2,Midlands
P00484,10276,1374,3,14.7,46.9,17.9,South West
P00485,4907,1678,8,17.8,35.7,20.0,East
P00486,8407,1556,9,21.6,33.2,19.2,South East
P00487,11648,1725,9,33.6,42.9,15.1,East
P00488,3472,1823,6,22.0,44.9,19.8,East
P00489,10497,2012,6,13.8,35.3,16.6,South East
P00490,5743,1772,2,15.9,49.9,7.5,South West
P00491,10641,1995,8,15.7,34.8,25.6,East
P00492,5461,1826,4,9.0,44.2,21.5,East
P00493,3244,1010,6,16.3,50.1,15.8,Midlands
P00494,3545,1424,4,21.7,44.5,17.0,South West
P00495,8194,1742,2,11.6,47.4,20.5,Midlands
P00496,9109,1316,7,23.2,39.7,18.4,North West
P00497,5090,2040,1,20.4,42.8,20.4,South East
P00498,11009,2412,8,14.3,35.3,21.3,North East
P00499,3485,2288,4,17.3,35.9,24.8,London
P00500,7739,1715,1,26.0,44.6,16.7,London
P00501,4366,2396,6,21.7,28.9,22.0,South West
P00502,5774,1859,1,18.0,42.0,11.0,South West
P00503,8191,1665,4,16.8,41.8,18.2,South East
P00504,5202,1555,8,18.4,39.3,15.7,Midlands
P00505,6600,1679,1,15.4,44.4,12.8,South West
P00506,13231,1645,9,7.5,39.2,16.7,South East
P00507,5995,1868,1,28.2,47.7,11.8,South East
P00508,12149,1864,3,18.8,48.5,25.8,East
P00509,4547,1801,8,20.0,35.7,25.3,South West
P00510,10426,1975,4,17.7,34.7,26.0,Midlands
P00511,16448,2276,2,14.3,35.8,13.4,Midlands
P00512,2324,2180,4,17.1,38.0,19.4,East
